,vaga,empresa,localização,salário,requisitos,job_url
19,GOL Linhas Aéreas,GOL Linhas Aéreas,"São Paulo, SP",,"Conhecimento em transporte aéreo, revenue management, data analytics, banco de dados, SQL e/ou machine learning (diferencial).",
20,Banco BV,Banco BV,"São Paulo, SP",,"Um banco nacional, o 5º maior banco privado do Brasil (ranking Banco Central).Atuação no time de Suporte a Canais;",
21,iugu,iugu,"Hybrid remote in São Paulo, SP",,Fazer parte de um time que faz a diferença.O que você vai encontrar na iugu.Saúde: Plano de saúde e odontológico Sulamérica (ambos sem desconto e sem copay…,
22,Curriculum.com.br,Curriculum.com.br,"São Paulo, SP+1 local",,Requisitos necessários para esse novo desafio: Conhecimento de nível avançado em Excel para atuar com importação de dados; Gerar relatórios gerenciais em Excel…,
23,CIA Hering,CIA Hering,"Home office in São Paulo, SP",,"Avaliação de desempenho dos produtos ativos nos sites (por coleção, grade de produtos, categoria, pirâmide de preço), como também fazer a gestão dos produtos…",
24,Vagas de emprego: Nomah,Nomah,"Home office in São Paulo, SP",,"Conhecimento em modelagem dimensional de dados;Experiência de 2+ anos em áreas de dados, inteligência de mercado ou correlatas.",
25,Grupo Ri Happy,Grupo Ri Happy,"Home office in São Paulo, SP",,Coordenação reports semanais/mensais e internalização dos dados.Divulgação de lançamentos de campanhas para time interno.Day off no dia do seu aniversário.,
26,Vagas de emprego: DECISION GROUP IT,DECISION GROUP IT,"Home office in São Paulo, SP",R$ 10.000 por mês,Capacidade de criar relatórios e visualizações de grandes conjuntos de dados.Responsável pela administração e análise de dados na plataforma DX SaaS da…,
27,PagBank PagSeguro,PagBank PagSeguro,"São Paulo, SP",,"Superior em Engenharia, Administração, Economia ou áreas correlatas.Conhecimento técnico em linguagem SQL.Pacote Office avançado, com foco em Excel.",
28,TransUnion,TransUnion,"São Paulo, SP",,"Experiência em SQL, ou outras linguagens de banco de dados similares.Acompanhar as cargas dos arquivos recebidos das fontes.",
29,ASSINO Crédito Imobiliário,ASSINO Crédito Imobiliário,"São Paulo, SP",,"Conhecimento em Informática e principalmente Excel/Word;Salário compatível com o mercado;Sessões online com psicólogos, coaches entre outros profissionais no…",
30,Vagas de emprego: Daki,Daki,"São Paulo, SP",,"Mais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes.﻿Nosso time de Customer Experience é o guardião da experiência dos…",
31,Vagas de emprego: Credz,Credz,"São Paulo, SP",,"Experiência em modelagem de dados (Relacional e Multi-dimensional), manipulação de dados, extrações / cargas de dados.",
32,Vagas de emprego: BSL Saúde,BSL Saúde,"São Paulo, SP",,Realizar análises de viabilidade econômico/financeiras dos projetos estratégicos da cia;Ter conhecimento nos programas do pacote office em nível avançado …,
33,Experian,Experian,"São Paulo, SP",,"Desenvolver processos e padrões para apoiar os Data Owners e Squads nas dúvidas sobre ingestão, armazenamento, consumo, distribuição e controle de dados…",
34,Armac,Armac,"Barueri, SP",,Estamos em busca de um(a) ANALISTA DE DADOS para apoiar no desenvolvimento da nossa área de Planejamento de Manutenção.Tiver brilho nos olhos pelo que faz.,
35,Vagas de emprego: Capim,Capim,"Home office in São Paulo, SP",R$ 3.000 - R$ 5.000 por mês,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Estudar e avaliar a solidez de uma oportunidade para a Capim.,
36,3CON,3CON,"Home office in São Paulo, SP",,"Recebe, analisa e controla a documentação para elaboração de contratos no padrão definido;Atua na discussão de cláusulas com o jurídico;",
37,PagBank PagSeguro,PagBank PagSeguro,"São Paulo, SP",,"No Pags todas as pessoas são bem-vindas , sem distinção de gênero, orientação sexual, etnia, cultura, religião, deficiência etc.",
38,EY,EY,"São Paulo, SP",,Construção de paineis de visualização de dados para exploração dos modelos de dados usando powerBI e ferramentas similares.,
39,Vagas de emprego: marketdata,marketdata,"São Paulo, SP",,A Marketdata é uma das mais completas empresas de marketing de relacionamento do mercado latino-americano com sede no Brasil desde 2000.,
40,Tech Mahindra,Tech Mahindra,"São Paulo, SP",,"Report dos dados em Reuniões Periódicas junto ao Gerentes de Projetos, no acompanhamento dos indicadores financeiros.Relacionamento com o time global;",
41,BP,BP,"São Paulo, SP",,"Descrição da Vaga Estamos em busca de um(a) Analista de BI que será responsável pelo acompanhamento de performance das campanhas digitais, construção de…",
42,Whirlpool Corporation,Whirlpool Corporation,"São Paulo, SP",,Participar ativamente da governança ao compliance de dados pessoais;Nossos valores são a força motriz por trás de tudo o que fazemos.,
43,Vagas de emprego: Daki,Daki,"São Paulo, SP",,"Mais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes.﻿Nosso time de Customer Experience é o guardião da experiência dos…",
