,vaga,empresa,localização,salário,requisitos
10,VERO RH,VERO RH,"Guarulhos, SP",R$ 4.163 por mês,"Especificação da Vaga COZINHEIRO - Temporário Ensino médio completo Salário: R$4.163,00 Horário: 3ª a 6ª das 8h às 16h, Sabádos e Domingos das 08h às 17h.…"
11,Vagas de emprego: FEETA RH,FEETA RH,"São Paulo, SP",R$ 1.500 por mês,"Experiência com cozinha, desejável experiência de liderança, desejável superior completo.R$ 1500,00 + 40% cargo de confiança + 25% adicional noturno."
12,Vagas de emprego: Soluzione RH,Soluzione RH,"São Paulo, SP",R$ 1.678 por mês,"Restaurante com Gastronomia Italiana busca Cozinheiro Com experiência anterior em cozinha italiana e restaurante de porte medio com trabalho em equipe,…"
13,VERO RH,VERO RH,"São Paulo, SP",R$ 1.850 por mês,Preferencialmente que tenha trabalhado em cozinha chinesa.
14,Vagas de emprego: CAS RH,CAS RH,"Mauá, SP",R$ 1.728 por mês,"Cozinheiro industrial para trabalhar em Mauá Salário de 1.728,00 de segunda a sexta das 06h00 ás 15h48 CANDIDATOS INTERESSADOS ENTRAR EM CONTATO PELO…"
15,PROATIVA RH,PROATIVA RH,"São Paulo, SP",,Garantir que os pratos saiam dentro do padrão;
16,Vagas de emprego: O Amanhã RH,O Amanhã RH,"Zona Sul de São Paulo, SP",R$ 1.643 por mês,"Número de vaga(s): 1 | Data de entrada: 06/04/2022 Atendimento | Analista | | Preparar refeições sob supervisão de nutricionista, de modo que assegure a…"
17,Consult RH,Consult RH,"Caieiras, SP",R$ 1.451 - R$ 2.010 por mês,Principais Atividades: - Elaboração de cardápios - Criação de Pratos - Coordenação de equipe de cozinha - Elaboração das fichas técnicas - Administração…
18,Vagas de emprego: ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,"São Paulo, SP",R$ 1.700 - R$ 2.080 por mês,"Jornada: Horário: 14h40 - 23h00, escala das 6x1 com uma folga na semana e um domingo no mês.Descrição das atividades: Principais atividades: Preparo de…"
19,VERO RH,VERO RH,"Guarulhos, SP",R$ 4.163 por mês,"Especificação da Vaga COZINHEIRO - Temporário Ensino médio completo Salário: R$4.163,00 Horário: 3ª a 6ª das 8h às 16h, Sabádos e Domingos das 08h às 17h.…"
20,Vagas de emprego: FEETA RH,FEETA RH,"São Paulo, SP",R$ 1.500 por mês,"Experiência com cozinha, desejável experiência de liderança, desejável superior completo.R$ 1500,00 + 40% cargo de confiança + 25% adicional noturno."
21,Vagas de emprego: Soluzione RH,Soluzione RH,"São Paulo, SP",R$ 1.678 por mês,"Restaurante com Gastronomia Italiana busca Cozinheiro Com experiência anterior em cozinha italiana e restaurante de porte medio com trabalho em equipe,…"
22,VERO RH,VERO RH,"São Paulo, SP",R$ 1.850 por mês,Preferencialmente que tenha trabalhado em cozinha chinesa.
23,Vagas de emprego: CAS RH,CAS RH,"Mauá, SP",R$ 1.728 por mês,"Cozinheiro industrial para trabalhar em Mauá Salário de 1.728,00 de segunda a sexta das 06h00 ás 15h48 CANDIDATOS INTERESSADOS ENTRAR EM CONTATO PELO…"
24,PROATIVA RH,PROATIVA RH,"São Paulo, SP",,Garantir que os pratos saiam dentro do padrão;
25,Vagas de emprego: O Amanhã RH,O Amanhã RH,"Zona Sul de São Paulo, SP",R$ 1.643 por mês,"Número de vaga(s): 1 | Data de entrada: 06/04/2022 Atendimento | Analista | | Preparar refeições sob supervisão de nutricionista, de modo que assegure a…"
26,Consult RH,Consult RH,"Caieiras, SP",R$ 1.451 - R$ 2.010 por mês,Principais Atividades: - Elaboração de cardápios - Criação de Pratos - Coordenação de equipe de cozinha - Elaboração das fichas técnicas - Administração…
27,Vagas de emprego: ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,"São Paulo, SP",R$ 1.700 - R$ 2.080 por mês,"Jornada: Horário: 14h40 - 23h00, escala das 6x1 com uma folga na semana e um domingo no mês.Descrição das atividades: Principais atividades: Preparo de…"
28,VERO RH,VERO RH,"Guarulhos, SP",R$ 4.163 por mês,"Especificação da Vaga COZINHEIRO - Temporário Ensino médio completo Salário: R$4.163,00 Horário: 3ª a 6ª das 8h às 16h, Sabádos e Domingos das 08h às 17h.…"
29,Vagas de emprego: FEETA RH,FEETA RH,"São Paulo, SP",R$ 1.500 por mês,"Experiência com cozinha, desejável experiência de liderança, desejável superior completo.R$ 1500,00 + 40% cargo de confiança + 25% adicional noturno."
30,Vagas de emprego: Soluzione RH,Soluzione RH,"São Paulo, SP",R$ 1.678 por mês,"Restaurante com Gastronomia Italiana busca Cozinheiro Com experiência anterior em cozinha italiana e restaurante de porte medio com trabalho em equipe,…"
31,VERO RH,VERO RH,"São Paulo, SP",R$ 1.850 por mês,Preferencialmente que tenha trabalhado em cozinha chinesa.
32,Vagas de emprego: CAS RH,CAS RH,"Mauá, SP",R$ 1.728 por mês,"Cozinheiro industrial para trabalhar em Mauá Salário de 1.728,00 de segunda a sexta das 06h00 ás 15h48 CANDIDATOS INTERESSADOS ENTRAR EM CONTATO PELO…"
33,PROATIVA RH,PROATIVA RH,"São Paulo, SP",,Garantir que os pratos saiam dentro do padrão;
34,Vagas de emprego: O Amanhã RH,O Amanhã RH,"Zona Sul de São Paulo, SP",R$ 1.643 por mês,"Número de vaga(s): 1 | Data de entrada: 06/04/2022 Atendimento | Analista | | Preparar refeições sob supervisão de nutricionista, de modo que assegure a…"
35,Consult RH,Consult RH,"Caieiras, SP",R$ 1.451 - R$ 2.010 por mês,Principais Atividades: - Elaboração de cardápios - Criação de Pratos - Coordenação de equipe de cozinha - Elaboração das fichas técnicas - Administração…
36,½ Oficial Cozinheiro - Shopping Av. Paulista,ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,"São Paulo, SP",R$ 1.700 - R$ 2.080 por mês,"Jornada: Horário: 14h40 - 23h00, escala das 6x1 com uma folga na semana e um domingo no mês.Descrição das atividades: Principais atividades: Preparo de…"
37,COZINHEIRO- Guarulhos (…,VERO RH,"Guarulhos, SP",R$ 4.163 por mês,"Especificação da Vaga COZINHEIRO - Temporário Ensino médio completo Salário: R$4.163,00 Horário: 3ª a 6ª das 8h às 16h, Sabádos e Domingos das 08h às 17h.…"
38,Cozinheiro Líder,FEETA RH,"São Paulo, SP",R$ 1.500 por mês,"Experiência com cozinha, desejável experiência de liderança, desejável superior completo.R$ 1500,00 + 40% cargo de confiança + 25% adicional noturno."
39,Cozinheiro,Soluzione RH,"São Paulo, SP",R$ 1.678 por mês,"Restaurante com Gastronomia Italiana busca Cozinheiro Com experiência anterior em cozinha italiana e restaurante de porte medio com trabalho em equipe,…"
