,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
31,Abril Comunicações,Abril Comunicações,"Home office in São Paulo, SP",R$ 5.000 - R$ 5.500 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Montagem de um data lake da empresa, incialmente voltado para área de assinaturas, e envolvendo a parte de audiência de sites, dados de assinaturas, assinantes…",
32,Luizalabs,Luizalabs,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,Aplicar e difundir as boas práticas de segurança no projeto;Conhecimento nas linguagens Java e/ou Python e/ou NodeJS;Versionamento de projetos com GIT;,
33,Vagas de emprego: R&SSOUZA,R&SSOUZA,"Home office in São Paulo, SP",R$ 7.000 - R$ 10.000 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"Experiência de 05 anos na ou mais.Experiências em Python e seus frameworks como Django, Flask, FastAPI e afins / Bancos de dados relacionais como Postgres,…",
34,Wipro Limited,Wipro Limited,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,Experience in testing distributed Cloud based applications.Understand existing test cases and develop new ones.Good understanding of CI/CD pipeline.,
35,Vagas de emprego: Safira Energia,Safira Energia,"Home office in Barueri, SP",,Postedhá 17 dias,2022-05-01,"Aqui contamos com uma galera visionária e destemida, que vive num movimento constante para sempre fazer mais e melhor, trazendo soluções inteligentes para o…",
36,vagas de emprego: Barueri,,"Barueri, SP",R$ 3.500 por mês,Postedhá 11 dias,2022-05-01,"Estamos na vanguarda das tecnologias de engenharia do futuro, com soluções que garantem o sucesso de nossos clientes em setores-chave que estão moldando o…",
37,Clearsale,Clearsale,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Gerir, criar e dar manutenção aos indicadores contratuais que temos com nossos clientes;Trabalho com grandes volumes de dados com extração e manipulação de…",
38,PayGo Pagamentos,PayGo Pagamentos,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,Garantir a comunicação dos ambientes (On-Premises e Clouds) de forma segura e automatizada com transparência e baixa latência;,
39,Vagas de emprego: Juntos Somos Mais,Juntos Somos Mais,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Você fará parte do time de Tecnologia, da squad de Loyalty.Experiência com Docker e Kubernetes;Experiência atuando com meios de pagamento;",
40,Gympass,Gympass,"São Paulo, SP",,Postedhá 23 dias,2022-05-01,Definition and execution of a continuous improvement process for the project.Monitor metrics and expose insights into how the project is doing over the weeks…,
41,Vagas de emprego: Joyjet Digital,Joyjet Digital,"Home office in São Paulo, SP",R$ 6.000 - R$ 10.000 por mês,EmployerAtiva 7 dias atrás,2022-05-01,"Apoia no desenho de Soluções e Projetos de Cloud Transformation.Mínimo três (03) anos de experiência.Experiência em Amazon Web Services (API Gateway, Lambda,…",
42,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,Postedhá 22 dias,2022-05-01,"Formação Superior Completa em Ciência da Computação, Análise de Sistemas, Banco de Dados, Big Data ou áreas relacionadas a Tecnologia da Informação;",
43,WMS,WMS,"Home office in São Paulo, SP",R$ 1.403 por mês,Postedhá 23 dias,2022-05-01,"Devido à evolução tecnológica do marketing, o mercado de publicidade gera cada vez mais dados, o que torna a área responsável pela extração, tratamento e…",
44,Vagas de emprego: SpeedJob,SpeedJob,"São Paulo, SP",R$ 1.950 por mês,Postedhá 2 dias,2022-05-01,. Irá dar suporte aos clientes internacionais;. Possuir conhecimento mínimo sobre mercado financeiro.,
45,Estágio em TI,SpeedJob,"São Paulo, SP",R$ 1.950 por mês,Postedhá 2 dias,2022-05-01,. Irá dar suporte aos clientes internacionais;. Possuir conhecimento mínimo sobre mercado financeiro.,https://www.br.indeed.com/company/SpeedJob/jobs/Est%C3%A1gio-Ti-9f7b6b56682a74b8?fccid=4c8d9addde301a7a&vjs=3
46,Analista Segurança da Informação Junior,Itaú Unibanco,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Analisar e acompanhar o Ciclo de Concessão de Acessos de maneira a garantir a sua efetividade, conclusão nos prazos pré-estabelecidos e retroalimentação ao…",https://www.br.indeed.com/rc/clk?jk=836ff0569d2ad005&fccid=df3b23afae2f3514&vjs=3
