,vaga,empresa,localização,salário,requisitos
161,EY,EY,"São Paulo, SP",,Como Analista de Dados você irá atuar junto a um grande banco colocando em prática conhecimentos em análise de dados.
162,Vagas de emprego: Unlimint,Unlimint,"São Paulo, SP",,"Installing, configuring, and updating operating systems and software.Installation of network infrastructure equipment, including cable systems, trunk…"
163,INSTITUTO EUVALDO LODI,INSTITUTO EUVALDO LODI,"São Paulo, SP",R$ 2.500 por mês,"O principal recurso que você tem são dados (vendas por região nos últimos 05 anos, dados dos cliente (idade, sexo, endereço, perfil, etc)."
164,Vagas de emprego: Modern Talent Hub BR,Modern Talent Hub BR,"Home office in São Paulo, SP",R$ 20.000 - R$ 30.000 por ano,"Apoiar cliente com engenharia e validação de dados em ambiente Big Data.Análise e documentação das diversas fontes de dados do cliente (APIs, banco de dados…"
165,Vagas de emprego: Modern Talent Hub BR,Modern Talent Hub BR,"Home office in São Paulo, SP",R$ 20.000 - R$ 30.000 por ano,"Apoiar cliente com engenharia e validação de dados em ambiente Big Data.Análise e documentação das diversas fontes de dados do cliente (APIs, banco de dados…"
166,EY,EY,"São Paulo, SP",,"Ensino superior completo em Ciências Atuariais, Estatística, Matemática, Economia ou Engenharias;Pessoas talentosas e que consigam enxergar os desafios mais…"
167,Vagas de emprego: Hexacta,Hexacta,"São Paulo, SP",,"Azure Devops: pipeline, boards (sprint).Flask, Rancher, Kubernetes, DMS, ElasticSearch, Logstash, Java, Node, Angular, Scrum."
168,Vagas de emprego: Grhats Consultoria em Recursos Humanos,Grhats Consultoria em Recursos Humanos,"São Paulo, SP",R$ 4.500 - R$ 5.000 por mês,"Ensino superior completo em Matemática ou Estatística, ou Física ou Engenharias ou Ciência da Computação;Conhecimentos em Reporting e Dashboards utilizando…"
169,Pitang,Pitang,"Home office in São Paulo, SP",,"Sobre a PITANG Desenvolvemos serviços e soluções de alta qualidade em Tecnologia de Informação e Comunicação, através do desenvolvimento de projetos…"
170,Valid,Valid,"São Paulo, SP",,"Auxiliar no desenvolvimento de processos de ETL e modelagem de dados (cubos, views, data marts...).Superior completo em Ciências da Computação, Análise de…"
171,Autopass,Autopass,"Home office in São Paulo, SP",,"Criar modelos estatísticos para apoiar nas soluções de negócios (Ex: Marketing, Prevenção a Fraude, etc...).Comprovação mínima de 2 anos atuando com Análise de…"
172,Vagas de emprego: Canonical - Jobs,Canonical - Jobs,"São Paulo, SP",,We are confident that we can dramatically improve the experience of running complex business operations - and then we can help our customers embrace those new…
173,Vagas de emprego: JOTA Jornalismo SA,JOTA Jornalismo SA,"São Paulo, SP",,Fazer análises do negócio com base nos resultados obtidos na análise dos indicadores;Domínio das ferramentas Excel e Google Sheets;
174,Vagas de emprego: Dasa Tecnologia,Dasa Tecnologia,"Home office in São Paulo, SP",,Estruturação de processos de qualidade de dados;Desenvolver métricas de controle de integridade de dados;Sólidos conhecimentos em processos de Governança de…
175,Vagas de emprego: Donus,Donus,"São Paulo, SP",,"Realizar modelagem de ameaça (Threat Modeling);Criar e fazer scripts específicos caso necessário (Python, PowerShell, Shell Script majoritariamente);"
176,Vagas de emprego: Farm Investimentos,Farm Investimentos,"São Paulo, SP",,Manipulação de base de dados para tomada de decisão.
177,C&A,C&A,"Home office in Barueri, SP",,Experiência na criação e manutenção de pipelines de transformação de dados (ETL);
178,Share RH,Share RH,"Home office in São Paulo, SP",,"A Object Edge tem um papel crítico trabalhando para obter resultados extraordinários.Através de uma forte parceria com os times de nossos clientes, trazemos um…"
179,Vagas de emprego: Banco Master,Banco Master,"São Paulo, SP",,"Trabalhar em conjunto com o time de projetos e de desenvolvimento, atuando por todo SDLC, entendendo, documentando e validando a arquitetura e funcionalidades…"
180,Dev Full Stack,Bradoo Technologies,"São Paulo, SP",,"Plano de Carreira em Startup de tecnologia. Trabalhar em ambiente Ágil, e participar de equipe de desenvolvimento de Produto Desenvolvimento de produto e…"
181,Anl Marketing III,Santander,"São Paulo, SP",,"Tecnologias de Big Data (Haddop, Spark e Hive, Impala).Conhecimento em metodologias de pesquisas de mercado."
