,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
41,HIT COMMUNICATIONS,HIT COMMUNICATIONS,"Home office in São Paulo, SP",R$ 2.000 - R$ 3.000 por mês,Postedhá 1 dia,2022-05-06,"Possuir conhecimento de HTML, CSS, JavaScript, Design Web, React, TypeScript, WebSockets e aplicativos mobile.",
42,Vagas de emprego: Metal Toad,Metal Toad,"São Paulo, SP",,Postedhá 1 dia,2022-05-06,"This is a fully remote position and contracts with the potential to hire.Designs develop, implement, utilize, and conform architecture application solutions,…",
43,Vagas de emprego: G4 Educação,G4 Educação,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Estamos com oportunidade para atuar como Desenvolvedor(a) Full Stack Junior.Propor soluções No-Code / Low-Code;,
44,Sinqia,Sinqia,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Desenvolvimento frontend em time ágil num produto cross-verticais da Sinqia.Conhecimentos: Angular, Javascript, HTML, CSS, Bootstrap, React, Flutter.",
45,Santander,Santander,"São Paulo, SP",,Postedhá 1 dia,2022-05-06,"Swift (IOS) , Devops (noções), Javascript es5/es6, Typescript, Angular 2+, CSS, Conceitos de Consumo Rest, HTML, Dynatrace (noções).",
46,Vagas de emprego: HUNTER COMERCIAL ELETRONICOS,HUNTER COMERCIAL ELETRONICOS,"São Paulo, SP",R$ 2.000 - R$ 4.000 por mês,Postedhá 1 dia,2022-05-06,"Conhecimentos práticos de CSS3, HTML5 e JavaScript.Experiência em trabalhar com templates WordPress.",
47,Tech Mahindra,Tech Mahindra,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Nós realmente acreditamos que a tecnologia torna isso possível, mas são as pessoas que fazem isso acontecer.",
48,Vagas de emprego: Rino Box,Rino Box,"Home office in São Paulo, SP",,Postedhá 23 dias,2022-05-06,"Conhecimento sólidos em JavaScript com ênfase em um ou mais frameworks: (VueJS, Angular ou React);Conhecimento em HTM5 e CSS/Sass;",
49,vagas de emprego: São Paulo,,"Home office in São Paulo, SP",,Postedhá 4 dias,2022-05-06,"Muitas vezes confundido com um simples pop-up, Allert é um diferenciado canal digital de comunicação interna que envia mensagens diretamente na tela do…",
50,Global TI,Global TI,"São Paulo, SP",,Postedhá 1 dia,2022-05-06,Prestar sustentação/correção e melhorias voltados ao cliente final.,
51,Vagas de emprego: FORCE-LINE INDUSTRIA E COMERCIO DE COMPONENTES ELETRONICOS LTDA,FORCE-LINE INDUSTRIA E COMERCIO DE COMPONENTES...,"São Paulo, SP",,Postedhá 3 dias,2022-05-06,> Desenvolvimento de programas na linguagem Advpl.,
52,IBM,IBM,"São Paulo, SP",,Postedhá 8 dias,2022-05-06,NET Core; Experiência em desenvolvimento com banco de dados Oracle; Conhecimento em frameworks de scripts de desenvolvimento Web para plataformas Windows:…,
53,Vagas de emprego: Medical Harbour Aparelhos Medico-Hospitalares e Servicos em Tecnologia Ltda,Medical Harbour Aparelhos Medico-Hospitalares e...,"Home office in São Paulo, SP",R$ 5.000 - R$ 6.400 por mês,Postedhá 2 dias,2022-05-06,Controle de versionamento de código (Git).Utilização de APIs Rest (JSON).Desenvolvimento e manutenção de projetos web (sistemas/sites/portais).,
54,Vagas de emprego: EMPREGARE.com,EMPREGARE.com,"São Paulo, SP",,PostedHoje,2022-05-06,Descrição: Conhecimentos fundamentais - Linguagem PHP - Linux - Apache - MySQL - HTML5 / CSS3 / JavaScript Requisitos: Conhecimentos desejáveis -…,
55,Vagas de emprego: Exent | Performance Marketing,Exent | Performance Marketing,"Home office in São Paulo, SP",R$ 1.500 - R$ 2.000 por mês,Postedhá 16 dias,2022-05-06,Estamos procurando um(a) Estagiário(a) para atuar no setor de Desenvolvimento Front-end da empresa.Desejável Noções em JavaScript (JQuery).,
